Region,Code,Jahr,Population
Germany,DEU,1800,18000000
Germany,DEU,1801,18294612
Germany,DEU,1802,18594046
Germany,DEU,1803,18898381
Germany,DEU,1804,19207698
Germany,DEU,1805,19522077
Germany,DEU,1806,19841601
Germany,DEU,1807,20166356
Germany,DEU,1808,20496425
Germany,DEU,1809,20831897
Germany,DEU,1810,21178441
Germany,DEU,1811,21525076
Germany,DEU,1812,21877384
Germany,DEU,1813,22235459
Germany,DEU,1814,22599394
Germany,DEU,1815,22969286
Germany,DEU,1816,23345232
Germany,DEU,1817,23727332
Germany,DEU,1818,24115685
Germany,DEU,1819,24488367
Germany,DEU,1820,24844857
Germany,DEU,1821,25184625
Germany,DEU,1822,25507128
Germany,DEU,1823,25811809
Germany,DEU,1824,26120130
Germany,DEU,1825,26432134
Germany,DEU,1826,26747865
Germany,DEU,1827,27067367
Germany,DEU,1828,27390685
Germany,DEU,1829,27709637
Germany,DEU,1830,28024082
Germany,DEU,1831,28333882
Germany,DEU,1832,28638891
Germany,DEU,1833,28938965
Germany,DEU,1834,29242182
Germany,DEU,1835,29548576
Germany,DEU,1836,29858181
Germany,DEU,1837,30171030
Germany,DEU,1838,30487157
Germany,DEU,1839,30791884
Germany,DEU,1840,31084973
Germany,DEU,1841,31366182
Germany,DEU,1842,31635265
Germany,DEU,1843,31891972
Germany,DEU,1844,32150762
Germany,DEU,1845,32411652
Germany,DEU,1846,32674660
Germany,DEU,1847,32939801
Germany,DEU,1848,33207094
Germany,DEU,1849,33466493
Germany,DEU,1850,33717866
Germany,DEU,1851,33970411
Germany,DEU,1852,34214795
Germany,DEU,1853,34450874
Germany,DEU,1854,34688580
Germany,DEU,1855,34927923
Germany,DEU,1856,35168915
Germany,DEU,1857,35411567
Germany,DEU,1858,35655890
Germany,DEU,1859,35915420
Germany,DEU,1860,36190385
Germany,DEU,1861,36481013
Germany,DEU,1862,36787538
Germany,DEU,1863,37110194
Germany,DEU,1864,37435677
Germany,DEU,1865,37764012
Germany,DEU,1866,38095224
Germany,DEU,1867,38429338
Germany,DEU,1868,38766380
Germany,DEU,1869,39121267
Germany,DEU,1870,39494319
Germany,DEU,1871,39885860
Germany,DEU,1872,40296219
